turn_on_pow,60.56538266565035
turn_on_pow_fix,60.595599917547695
turn_on_pow_G,58.15706108985535
pow,57.034582879303926
2G,56.21086243121853
turn_on_pow_G_fixed_max,57.96361462213421
G,53.775605570147846
2G_fixed_max,54.97754299454268
sst,55.60741512925184
G_fixed_max,53.401728280813465
2G_fixed_min,54.88137957486508
2G_fixed_max_min,53.62446905233718
logu,43.36023484381972
3G_fixed_max_min,52.78839511866312
lognorm,51.39563306914361
gamma,50.28483085619441
U,38.50355962834487
G_fixed_max_min,46.676951433558195
